lgID,yearID,Total_Runs,Total_Outs,ERA,DH
AL,1946,5037,33186,4.0980835291990605,No
NL,1946,4918,33254,3.9930835388223973,No
AL,1947,5161,33228,4.193661971830986,No
NL,1947,5669,32902,4.652088018965412,No
AL,1948,5838,32929,4.7868444228491605,No
NL,1948,5474,32867,4.496850944716585,No
NL,1949,5646,33293,4.5788003484215904,No
AL,1949,5776,32823,4.7513024403619415,No
NL,1950,5760,33029,4.7085894214175426,No
AL,1950,6253,32889,5.133357657575481,No
AL,1951,5716,33163,4.653740614540301,No
NL,1951,5552,33462,4.479827864443249,No
NL,1952,5158,33083,4.209594051325454,No
AL,1952,5191,33535,4.179424481884598,No
AL,1953,5512,33181,4.48521744371779,No
NL,1953,5914,32915,4.851222846726417,No
AL,1954,5203,33315,4.216749212066636,No
NL,1954,5624,33065,4.592408891577197,No
AL,1955,5491,33080,4.48177146311971,No
NL,1955,5578,32953,4.570327436045277,No
AL,1956,5756,33095,4.695935941985194,No
NL,1956,5275,33190,4.291202169328111,No
AL,1957,5210,33380,4.214200119832235,No
NL,1957,5426,33653,4.353311740409474,No
AL,1958,5159,33072,4.2118105950653115,No
NL,1958,5419,33077,4.423405992079088,No
NL,1959,5462,33142,4.449761631766339,No
AL,1959,5391,33159,4.389667963448837,No
AL,1960,5414,33249,4.396463051520347,No
NL,1960,5250,33361,4.248973352117742,No
AL,1961,7342,43280,4.580268022181146,No
NL,1961,5600,33080,4.570737605804111,No
NL,1962,7278,43470,4.520496894409938,No
AL,1962,7183,43545,4.453806407165001,No
NL,1963,6181,43661,3.8223357229564145,No
AL,1963,6599,43655,4.0813881571412205,No
AL,1964,6607,43845,4.0686281217926785,No
NL,1964,6517,43570,4.038535689694744,No
NL,1965,6558,43929,4.030731407498464,No
AL,1965,6388,43618,3.9542390756109858,No
AL,1966,6276,43478,3.897419384516307,No
NL,1966,6624,43654,4.096944151738673,No
AL,1967,5992,43805,3.6932770231708707,No
NL,1967,6218,43748,3.8375697174727987,No
NL,1968,5577,44043,3.418908793678905,No
AL,1968,5532,43660,3.4210719193770043,No
NL,1969,7890,52162,4.08400751504927,No
AL,1969,7960,52510,4.092934679108741,No
AL,1970,8109,52341,4.1830114059723735,No
NL,1970,8771,52235,4.533684311285537,No
NL,1971,7601,52427,3.91452877334198,No
AL,1971,7472,51874,3.889115934765007,No
AL,1972,6441,49961,3.4808550669522225,No
NL,1972,7265,50390,3.8927366540980355,No
AL,1973,8314,52190,4.301168806284728,Yes
NL,1973,8062,52446,4.15044045303741,No
NL,1974,8070,52481,4.151788266229683,No
AL,1974,7976,52346,4.11401062163298,Yes
NL,1975,8014,52351,4.133216175431224,No
AL,1975,8281,51821,4.31460218830204,Yes
NL,1976,7739,52372,3.989784617734667,No
AL,1976,7753,52405,3.994485259040168,Yes
AL,1977,10247,60672,4.560077136075949,Yes
NL,1977,8556,52545,4.39646017699115,No
NL,1978,7742,52000,4.0198846153846155,No
AL,1978,9509,60490,4.244387502066457,Yes
AL,1979,10527,60155,4.724943894938076,Yes
NL,1979,8186,52280,4.227658760520276,No
NL,1980,7852,52589,4.031337351917701,No
AL,1980,10201,60995,4.5155668497417825,Yes
NL,1981,5035,34906,3.8946026471093793,No
AL,1981,6112,40379,4.0868768419227814,Yes
NL,1982,7947,52630,4.07693330799924,No
AL,1982,10163,61005,4.498008359970494,Yes
AL,1983,10177,60843,4.516197426162418,Yes
NL,1983,7993,52383,4.11986713246664,No
AL,1984,10027,60840,4.4498520710059175,Yes
NL,1984,7894,52274,4.077323334736198,No
NL,1985,7899,52424,4.068232107431711,No
AL,1985,10317,60552,4.600326991676575,Yes
NL,1986,8096,52413,4.170568370442448,No
AL,1986,10449,60610,4.654726942748721,Yes
AL,1987,11112,60587,4.9519533893409475,Yes
NL,1987,8771,52137,4.5422061108234075,No
AL,1988,9858,60561,4.395006687472136,Yes
NL,1988,7522,52442,3.8727355936081764,No
NL,1989,7673,52602,3.938462415877723,No
AL,1989,9732,60543,4.340121896833655,Yes
AL,1990,9746,60547,4.3460782532578,Yes
NL,1990,8173,52144,4.231953820190242,No
AL,1991,10172,61146,4.491610244333235,Yes
NL,1991,7955,52163,4.1175737591779615,No
AL,1992,9802,60987,4.339514978601997,Yes
NL,1992,7539,52502,3.8770523027694184,No
NL,1993,10190,60854,4.521148979524764,No
AL,1993,10674,60667,4.7504903819209785,Yes
AL,1994,8330,42689,5.268570357703389,Yes
NL,1994,7422,43070,4.652751335035988,No
NL,1995,9329,54168,4.650033229951263,No
AL,1995,10225,53928,5.1193257676902535,Yes
AL,1996,12208,60815,5.419978623694812,Yes
NL,1996,10623,60867,4.7122578737246785,No
NL,1997,10427,60767,4.632925765629372,No
AL,1997,11177,60595,4.980262397887614,Yes
NL,1998,11943,69720,4.625086058519793,No
AL,1998,11354,60584,5.060048857784234,Yes
NL,1999,12838,69404,4.994323093769812,No
AL,1999,11853,60230,5.313481653660967,Yes
NL,2000,13021,69310,5.072384937238494,No
AL,2000,11950,60423,5.339854029094881,Yes
AL,2001,11013,60639,4.903626379062979,Yes
NL,2001,12186,69223,4.753073400459385,No
AL,2002,10862,60492,4.848145209283873,Yes
NL,2002,11546,69315,4.497468080502056,No
AL,2003,11061,60675,4.922076637824475,Yes
NL,2003,11917,69331,4.6409109921968525,No
NL,2004,12060,69438,4.689363172902445,No
AL,2004,11316,60744,5.029830106677203,Yes
AL,2005,10616,60540,4.734588701684837,Yes
NL,2005,11709,69157,4.571381060485562,No
AL,2006,11041,60363,4.938571641568511,Yes
NL,2006,12558,69411,4.884902969270001,No
AL,2007,10934,60535,4.876815065664492,Yes
NL,2007,12388,69742,4.795904906655961,No
NL,2008,11976,69406,4.658847938218598,No
AL,2008,10609,60667,4.721561969439729,Yes
AL,2009,10793,60520,4.815118968935889,Yes
NL,2009,11626,69296,4.529871854075272,No
NL,2010,11281,69265,4.397415722226232,No
AL,2010,10027,60651,4.463718652619083,Yes
