lgID,yearID,Total_Singles,Total_Doubles,Total_Triples,Total_HomeRuns,Total_AtBats,Slugging_Percentage,DH
NL,1946,8066,1752,382,562,42094,0.355490093600038,No
AL,1946,7912,1827,401,653,42239,0.36414214351665525,No
AL,1947,7940,1708,412,679,42002,0.36445883529355744,No
NL,1947,8126,1860,392,886,42434,0.3903944949804402,No
AL,1948,8206,1846,450,710,42155,0.3816391887083383,No
NL,1948,7953,1840,384,845,42256,0.3825492237788716,No
NL,1949,8037,1865,370,935,42711,0.38905668329001897,No
AL,1949,8064,1737,391,769,41669,0.37886678346012626,No
AL,1950,8249,1829,423,973,42407,0.4024807225222251,No
NL,1950,7730,1885,370,1100,42416,0.401027913994719,No
AL,1951,8079,1836,349,839,42361,0.3813413281084016,No
NL,1951,7951,1746,367,1024,42704,0.38965904833270887,No
AL,1952,7841,1716,339,794,42317,0.36547959448921236,No
NL,1952,7665,1672,338,907,41878,0.3737284493051244,No
NL,1953,7954,1777,414,1197,42639,0.4113135861535214,No
AL,1953,8091,1816,331,879,42358,0.3832097832758865,No
NL,1954,7809,1816,403,1114,42027,0.40702405596402313,No
AL,1954,7918,1639,386,823,41909,0.37333269703405,No
AL,1955,7929,1574,338,961,41817,0.381065117057656,No
NL,1955,7506,1677,362,1263,41773,0.4069135566035477,No
AL,1956,7829,1680,353,1075,42007,0.39393434427595403,No
NL,1956,7466,1659,372,1219,41849,0.40086979378240817,No
NL,1957,7886,1733,365,1178,42919,0.3997996225447937,No
AL,1957,7709,1663,307,1024,41987,0.3823088098697216,No
NL,1958,7709,1769,365,1183,42143,0.40514438934105307,No
AL,1958,7625,1623,290,1057,41684,0.3830966318011707,No
AL,1959,7573,1690,267,1091,41964,0.3840911257268135,No
NL,1959,7744,1788,324,1159,42330,0.3999055043704229,No
AL,1960,7609,1720,274,1086,41838,0.38756632726229745,No
NL,1960,7597,1722,384,1042,42176,0.38792204097116845,No
AL,1961,9873,2226,404,1534,54904,0.3947435523823401,No
NL,1961,7734,1749,350,1196,42128,0.4050987466767945,No
NL,1962,10476,2075,453,1449,55449,0.39281141228876987,No
AL,1962,9878,2238,400,1552,55239,0.3939607885732906,No
NL,1963,9796,1984,439,1215,54803,0.3638669415907888,No
AL,1963,9654,2114,352,1489,55011,0.37981494610168876,No
NL,1964,10233,2161,427,1211,55284,0.3740684465668186,No
AL,1964,9644,2109,333,1551,55180,0.38175063428778544,No
AL,1965,9346,2077,365,1370,54362,0.36928369081343587,No
NL,1965,9932,2122,422,1318,55377,0.3740542102316846,No
AL,1966,9211,2021,408,1365,54082,0.36864391109796235,No
NL,1966,10313,2099,412,1378,55385,0.3838403899972917,No
NL,1967,10036,2133,427,1102,55026,0.36330098498891433,No
AL,1967,9255,1949,365,1197,54179,0.35135384558592814,No
NL,1968,10106,1995,359,891,54913,0.34121246335111904,No
AL,1968,9043,1874,338,1104,53709,0.3392541287307528,No
NL,1969,12065,2455,471,1470,65751,0.36908944350656264,No
AL,1969,11708,2385,378,1649,65536,0.369384765625,No
NL,1970,12171,2743,554,1683,66465,0.3919506507184232,No
AL,1970,11793,2492,373,1746,65675,0.3788351732013704,No
AL,1971,11696,2426,351,1484,64641,0.36411874816293066,No
NL,1971,12249,2505,457,1379,65903,0.3663869626572387,No
AL,1972,11000,2260,316,1175,61712,0.3430127041742287,No
NL,1972,11502,2392,430,1359,63116,0.3645985170162875,No
NL,1973,12281,2600,386,1550,66087,0.37585304220194593,No
AL,1973,12613,2624,404,1552,66276,0.381450298750679,Yes
NL,1974,12538,2642,447,1280,66212,0.3667462091463783,No
AL,1974,12729,2564,400,1369,66044,0.3714644782266368,Yes
NL,1975,12530,2781,458,1233,66102,0.36909624519681705,No
AL,1975,12305,2662,429,1465,65371,0.37900598124550644,Yes
AL,1976,12643,2588,467,1122,65711,0.3607919526411103,Yes
NL,1976,12514,2652,499,1113,65814,0.3611237730574042,No
AL,1977,14507,3408,644,2013,77275,0.4051374959560013,Yes
NL,1977,12275,3033,526,1631,66700,0.39644677661169414,No
AL,1978,14409,3325,538,1680,76411,0.38466974650246694,Yes
NL,1978,11937,2861,482,1276,65156,0.3715544232304009,No
NL,1979,12398,2886,518,1427,66088,0.3848202396804261,No
AL,1979,14599,3529,548,2006,76704,0.4083880892782645,Yes
NL,1980,12564,2856,523,1243,66272,0.37447187349106714,No
AL,1980,15072,3489,553,1844,77888,0.3990987058340181,Yes
AL,1981,9530,2119,305,1062,50813,0.37256213960994233,Yes
NL,1981,8187,1881,354,719,43654,0.3639299949603702,No
AL,1982,14474,3493,519,2080,77886,0.4023444521480112,Yes
NL,1982,12518,2823,445,1299,66263,0.37268158700934156,No
NL,1983,12146,2753,484,1398,65717,0.37579317376021426,No
AL,1983,14500,3710,549,1903,77821,0.4006502100975315,Yes
NL,1984,12343,2770,451,1278,65919,0.36936239930824194,No
AL,1984,14582,3443,534,1980,77910,0.39776665383134385,Yes
AL,1985,13914,3562,528,2178,77257,0.4055813712673285,Yes
NL,1985,11874,2861,437,1424,65818,0.37380351879425083,No
AL,1986,13959,3520,468,2290,77376,0.4079171836228288,Yes
